iter	RMSE
0	0.4423508813
1	0.4123259213
2	0.3842806341
3	0.3584274657
4	0.3350698787
5	0.3128539476
6	0.2928781804
7	0.2741062523
8	0.2564313513
9	0.2403182001
10	0.2250670593
11	0.2112943179
12	0.1983027249
13	0.18628595
14	0.175046211
15	0.1647837498
16	0.1553454355
17	0.1463738586
18	0.1381504479
19	0.1304474512
20	0.1232109428
21	0.1164466676
22	0.1101232323
23	0.104421218
24	0.09909453306
25	0.09428018981
26	0.08974922923
27	0.08540539801
28	0.08147329836
29	0.07777666595
30	0.07435295541
31	0.07098197752
32	0.06803895566
33	0.06504797949
34	0.06242641389
35	0.05980517945
36	0.05753105032
37	0.05536579915
38	0.05337575803
39	0.05158734913
40	0.04984878225
41	0.04820919645
42	0.04674493936
43	0.0452470622
44	0.04392208934
45	0.04272593375
46	0.04154684331
47	0.04047823547
48	0.03941504114
49	0.03848436751
50	0.0375753675
51	0.03674558615
52	0.0359439034
53	0.03521400799
54	0.03454576069
55	0.03392873522
56	0.03333237349
57	0.0327701825
58	0.03223968082
59	0.03174448313
60	0.03130279486
61	0.03086569067
62	0.03046584211
63	0.03011046309
64	0.02971840118
65	0.02936892987
66	0.02900100298
67	0.02868570189
68	0.02835834538
69	0.02806854393
70	0.02780516278
71	0.0274810492
72	0.02722180758
73	0.02701320404
74	0.02679456342
75	0.02649360035
76	0.02627100568
77	0.02596609761
78	0.02572141112
79	0.02553422995
80	0.02533156731
81	0.02516854391
82	0.02501412644
83	0.02485438343
84	0.02466200038
85	0.02451986701
86	0.02426602458
87	0.02413501833
88	0.02396123611
89	0.02374979913
90	0.02358607552
91	0.02343804338
92	0.023338446
93	0.02319830519
94	0.02306936418
95	0.02294351299
96	0.02279814105
97	0.02267595098
98	0.02257069371
99	0.02238540719
100	0.02222713045
101	0.02210079128
102	0.02199890882
103	0.02191243341
104	0.02173976502
105	0.02162637268
106	0.02149229806
107	0.02141290381
108	0.02134220722
109	0.02116477506
110	0.02109957385
111	0.02098929962
112	0.02088012874
113	0.02073902581
114	0.02060488205
115	0.02050989973
116	0.02037141125
117	0.02027633899
118	0.02018263089
119	0.02011594284
120	0.02003862181
121	0.01996667865
122	0.01985617157
123	0.01976434908
124	0.01964694934
125	0.0195641707
126	0.01950495201
127	0.01941118153
128	0.01934798786
129	0.0192466225
130	0.01915545118
131	0.01907754558
132	0.01899850026
133	0.01891834318
134	0.01885295532
135	0.01877561837
136	0.01872503455
137	0.01863395029
138	0.01856244258
139	0.01849428865
140	0.01842554783
141	0.01837107354
142	0.0182942246
143	0.01823148078
144	0.01816360238
145	0.01810531658
146	0.01803428339
147	0.01798113383
148	0.01790273466
149	0.01784075388
150	0.01779556741
151	0.0177352235
152	0.01766713638
153	0.01761138664
154	0.01754872631
155	0.01749179311
156	0.01743643237
157	0.01738311696
158	0.01732731852
159	0.01728651526
160	0.01724752273
161	0.01715082778
162	0.01709767012
163	0.01705551239
164	0.01699790926
165	0.01692448781
166	0.01687056671
167	0.01682496811
168	0.01678754138
169	0.01674648963
170	0.01669360331
171	0.01665209732
172	0.01661328303
173	0.01653195468
174	0.0164747158
175	0.01641288933
176	0.0163582687
177	0.01633015487
178	0.01629350084
179	0.01625517527
180	0.01622409107
181	0.01618460816
182	0.01614158047
183	0.0160813961
184	0.01601318147
185	0.01596840207
186	0.01591425001
187	0.0158740882
188	0.01583765627
189	0.01579970764
190	0.01577558687
191	0.01572807268
192	0.01568376099
193	0.0156569735
194	0.01561819075
195	0.01558412278
196	0.01554665457
197	0.01549368017
198	0.0154478639
199	0.01541053396
200	0.0153726827
201	0.01533740597
202	0.01530490653
203	0.0152522182
204	0.01519891578
205	0.01517007608
206	0.01514231739
207	0.01511607899
208	0.01506881226
209	0.01502795309
210	0.01499080095
211	0.01496094042
212	0.01492660477
213	0.01489333792
214	0.01486335536
215	0.01484246432
216	0.01481195481
217	0.01477242734
218	0.0147379166
219	0.01471529874
220	0.0146736878
221	0.01464496016
222	0.01460188277
223	0.01456189701
224	0.0145260281
225	0.01450075419
226	0.01447550613
227	0.01444301705
228	0.01441773414
229	0.01438826989
230	0.01436364644
231	0.01433695772
232	0.01431266518
233	0.01428629417
234	0.01424348232
235	0.01421424082
236	0.01418961087
237	0.01416339337
238	0.01412930275
239	0.01410098056
240	0.01406840569
241	0.0140458745
242	0.01401927532
243	0.01399026591
244	0.01395766111
245	0.01392169595
246	0.01390475023
247	0.01387925262
248	0.01385816308
249	0.01383536529
250	0.01380301502
251	0.01378430416
252	0.01374798393
253	0.01371690192
254	0.0136916263
255	0.01367597155
256	0.01364377666
257	0.01361425082
258	0.01358347333
259	0.01355826748
260	0.01353835358
261	0.01351839188
262	0.01350360007
263	0.01348477184
264	0.01346106503
265	0.01343798094
266	0.01341296493
267	0.01338863745
268	0.01336598506
269	0.01334390825
270	0.01332734323
271	0.01330112302
272	0.01327573361
273	0.01325500567
274	0.01324096452
275	0.01321520939
276	0.01319575022
277	0.01317644301
278	0.01315574649
279	0.01313217616
280	0.01311898436
281	0.0130975225
282	0.01307898596
283	0.01305264343
284	0.01302216463
285	0.01299790018
286	0.01297563004
287	0.01295674652
288	0.01293123456
289	0.01290845153
290	0.01288901796
291	0.01287264512
292	0.01285622309
293	0.01283927937
294	0.01282378354
295	0.0127989638
296	0.01277262281
297	0.01275852746
298	0.01274501944
299	0.01272950158
